学校名称,专业中文名称,专业原名称（官网名称）,内容
慕尼黑大学,统计学和数据科学,Statistics and Data Science,"1. 官网：
https://www.statistik.uni-muenchen.de/studium/studieninfos/statistik_im_master/master_statistik/index.html
2. 授课语言：英语B2，雅思6.0-6.5
3. 申请日期：
①　夏季学期，1.15截止
②　冬季学期，5.15截止
4. 申请方式：
向国际招生办申请：该专业比较特殊，是网站申请
https://lmu.gomovein.com/locallogin/5fbf5db8089cc309fc0513a2/eng
https://cms-cdn.lmu.de/media/lmu/downloads/international/studium/infosheet-fuer-internationale-studienbewerber.pdf申请指导
https://www.lmu.de/de/studium/internationale-vollzeit-studierende/studienbewerbung/index.html checklist
 
5. 申请材料：有checklist，建议护照复印件+课程描述
6. 匹配度说明和选拔标准
匹配度说明：
 
①　统计学or数据科学的学士学位
②　至少150ECTS证明
③　英语B2+德语A1（德语可第一年后补交）
统计学习和建模方法（最多6分），例如统计推断、线性和广义模型、统计和机器学习、入门课程不计算在内 。
统计建模方法ECTS	打分
18	6
9-17	3
小于9	0
统计学的数学基础（最多 5 分），例如概率论、矩阵微积分、分析、数值。
统计学的数学基础ECTS	打分
18	5
9-17	3
小于9	0

统计软件和统计编程（最高4分），例如R、Python、实践经验.
统计软件和统计编程ECTS	打分
12	4
6-11	2
少于6	0
 
大学平均分	得分
1.0-1.5	5
1.51-2.5	3
2.51-3	1
低于3	0

直接录取：18-20
 
选拔面试
面试（25 分钟）将测试三个专题领域的知识。
- 面试前会提供一份文献清单或题目清单。
- 通常由一名大学讲师和一名工作人员担任考官。
- 选拔面试结束后直接做出决定。
- 面试日期约为 9 月中旬或 3 月中旬。
面试的内容：
 
 
统计学习和建模方法
- 统计建模：简单和多元线性回归、二元和泊松回归、预测、假设检验、模型选择
回归、预测、假设检验、模型选择
- 推断：点估计和区间估计、最大似然估计和贝叶斯估计、统计检验原理、基于 M
估计、统计检验原理、基于 ML 估计数的检验、
重要检验
- 机器学习原理：监督和非监督学习、分类、
风险最小化、正则化、评估、树、森林、其他重要方法

统计学的数学基础
- 概率论基础： 科尔莫哥罗夫公理、随机变量、
离散分布和连续分布的定义、联合分布和边际分布、
协方差和相关性、收敛的概念、大数定律、中心极限定理
中心极限定理
- 矩阵微积分：行列式、特征值、二次型、谱分解、
Cholesky 分解
- 分析：微分、数学优化、R 和 Rn 中的积分、泰勒级数和泰勒近似
数列和泰勒近似

统计软件和统计程序设计
- 统计编程基础
- 熟练掌握统计编程语言

"
慕尼黑大学,数据科学,Data Science,"项目网页： https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/data-science-master-hauptfach-4483.html

1.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季
e)	学费：有学期费
2.	申请时间：
a)	冬季学期：4月25日到6月1日
3.	申请方式：
官网申请（双申请）
必须另外向慕尼黑大学国际办公室提交入学申请，截止日期为 2024 年 7 月 15 日
网址：https://www.lmu.de/de/studium/internationale-vollzeit-studierende/studienbewerbung/index.html
在线申请
第一步：若申请成功，将在六月底之前通过电子邮件通知申请人告知在线申请是否成功 
第二步：面试（个人通过视频会议/约30min）将于六月底/七月初进行。面试邀请（附有日期和时间）将在预定面试日期前至少一周通过电子邮件发送。面试是否成功的信息将于7月中旬发出。
 
4.	申请材料：正常德国申请材料
论文“数据科学”（其中介绍数据科学的发展和观点以及您计划的专业领域以及之前的经历，最多 1,000 字）
英语水平证明，B2。
5.	授课语言：英语
 
托福最低88；雅思最低6.5；或者提供本科英语授课的证明
6.	选拔流程和匹配度情况说明：
基本要求
主修、辅修或主修专业为统计学或数据科学的学士学位（180 ECTS）。
申请时必须证明至少 150 ECTS（相当于 5 个学期），最终学位可以稍后提交。
英语水平B2：托福最低88；雅思最低6.5；或者提供本科英语授课的证明。
面试内容：（以下是例题）
统计数据
1.	解释随机变量 X 的期望、中位数、方差、分位数等数量。
2.	对于连续随机变量 X，请解释密度与分布函数的关系。
3.	假设 X 服从均值 m 和方差 s2 的正态分布。解释这意味着什么，并陈述正态分布的一些属性。我们如何计算 P(X < x)？
4.	解释最大似然法的基本思想。当给定 n 个独立的 0/1 i.i.d 观测值时，使用最大似然估计伯努利 (p) 分布的参数。
5.	解释置信区间的含义。
6.	协方差和相关性是什么意思？给出一个数学定义。理论协方差和经验协方差有什么区别？
7.	回归模型的目的是什么。举个例子。
8.	解释如何使用回归模型进行预测。
9.	举一个 2x2 表格的例子。优势比是如何定义的？
10.	聚类分析的目的是什么？
推荐书目：
•	FM Dekking、C. Kraaikamp、HP Lopuhuä、LE Meester。概率与统计的现代介绍。施普林格。
•	G.格里米特，D.Stirzaker。概率和随机过程。牛津大学 Pr。
•	AM 心情，FA 格雷比尔，DC 博斯。统计理论简介。麦格劳-希尔。
 
计算机
1.	命名基本数据类型以及它们在计算机内存中的表示方式。
2.	什么是算法？通常使用哪些类型的控制结构来实现算法？
3.	什么是函数以及如何使用它来实现递归？
4.	什么是数组、复合数据类型和引用？
5.	编译型编程语言和解释型编程语言有什么区别？
6.	算法的时间复杂度和内存复杂度是多少？
7.	说出至少两种常用的排序算法并解释它们的计算复杂性。
8.	说出在数据结构中表示图形的两种方法？命名一个方法来找出图是否基于这些结构之一联系？
9.	与在纯文本文件中存储数据相比，数据库系统有何优点？
10.	关系数据模型中的关系、元组和主键是什么？
推荐书目
o	托马斯·H·科门。算法简介。麻省理工学院出版社，2009 年。
o	大卫·J·埃克. 使用 Java 编程简介，第 7 版。版本 7.0，2014 年 8 月（版本 7.0.2，主要是印刷更正，2016 年 12 月）。网址：http://math.hws.edu/javanotes/
o	凯·S·霍斯特曼。Java 基础知识的计算概念，第三版。威利，2003。
o	R. Ramakrishnan，J. Gehrke。数据库管理系统，第三版。麦格劳·希尔，2002。
 
 
匹配度：
因为官网只给出了要求以下模块的要求：
•	统计科学和基于数据的建模：这尤其包括统计和数据挖掘、概率论和机器学习等主题（至少 30 ECTS 或同等学历）。
•	计算机科学和计算方法：这尤其包括数据结构和算法、数据库系统、编程原理和实践、软件工程（至少 30 ECTS 或同等水平）。"
慕尼黑工业大学,数学与数据科学,Mathematics in Data Science ,"1.	官网：https://www.tum.de/en/studies/degree-programs/detail/mathematics-in-data-science-master-of-science-msc
项目网页：https://www.cit.tum.de/en/cit/studies/degree-programs/master-mathematics-data-science/ 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：夏季或冬季
e)	学费：6000欧元每个学期 (24/25WS开始)；有学期费
3.	申请时间：
a)	冬季学期：1月1日 - 5月31日
b)	夏季学期：9月1日 - 11月30日
4.	申请方式：
a)	Uni-assist申请VPD
Uni-assist网址：https://my.uni-assist.de/ 
 
备注：全年随时都可以申请VPD，不一定需要等到对应的申请期
 
VPD申请截止日期：
 
 
关于VPD的信息：https://www.tum.de/en/studies/application/application-info-portal/uni-assist 
b)	学校网申系统提交申请
除了通过Uni-assist申请VPD，还要在学校的网申系统上提交申请，VPD需要在这里上传
学校系统TUMOnline：https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login 
网申步骤：https://www.tum.de/en/studies/application/application-info-portal/online-application/onlineapplication-bachelor-master 
5.	申请材料：
VPD的申请材料
-	本科毕业证（毕业生；在读生可以上传在读证明）+英/德翻译件
-	成绩单+英/德翻译件
-	APS
 
项目的申请材料
-	护照
-	英语成绩证明
-	成绩计算表(120ECTS)+课程分析表
(课程分析表在官网上下载，一个Excel表格)
-	简历
-	课程描述
-	成绩单(已包括至少120ECTS)
-	论文
在给定的3个主题里选一个，用英语或德语写一篇大致1000字的论文
24/25WS的topics：https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Master_Mathematics_in_Data_Science/Aufsatzthemen_WS_24_25.pdf 
-	动机信
-	VPD
-	GRE
分数要求是：Q157，AW 3.5
 
不论是否已经用ETS送分，都需要在申请的时候上传成绩证明
 
6.	授课语言：英语
 
托福最低88；雅思最低6.5；或者提供本科英语授课的证明
7.	评分标准和匹配度情况说明：
评分标准：
根据申请者提交的文件进行评分 (Aptitude Assessment)，得分范围：0-100
a)	专业资质(0-55分)
该部分不是通过模块的示意性比较进行的，而是基于能力进行考量的，下表为基本科目组：
数学本科	TUM 学分
数学础知识：
线性代数、离散结构、分析、概率与统计、优化	55
信息基础知识：
计算机科学导论基础知识、算法和数据结构基础知识、数据库基础知识、操作系统和系统软件基础知识、计算机网络和分布式系统	18
计算机本科(辅修数学)	TUM 学分
数学础知识：
计算机的线性代数、离散结构、计算机的分析、概率与统计、高级基础知识(如优化)	35
信息基础知识：
计算机科学导论基础知识、算法和数据结构基础知识、数据库基础知识、操作系统和系统软件基础知识、计算机网络和分布式系统	18
如果确定所获得的技能（学习成果）没有显着差异，则最多可获得55分。缺失的技能将根据慕尼黑工业大学数学学士学位课程或辅修数学的计算机科学学士学位课程指定模块的学分进行扣除。
 
你的本科更靠近第二个类型，所以我们参考慕尼黑工大的信息学辅修数学本科
必修模块
 
信息模块必修：
计算机科学导论、计算机体系结构导论、软件工程导论、理论计算机科学导论、函数世变成与验证、算法和数据结构基础知识、操作系统和系统软件基础知识、数据库基础知识、计算机网络和分布式系统基础知识、编程实践、计算机体系结构实践
数学模块必修：
离散结构、离散概率论、数值编程、计算机科学的线形代数、计算机科学的分析
辅修为数学的可选择课程
 
必修：建模与仿真
选修：函数理论、马尔可夫链、泛函分析、偏微分方程、偏微分方程的数值方法、非线性优化、工商管理统计、代数、分析、应用回归、优化导论、几何、整数优化、微分方程的数值分析、统计计算
结合下表和上图可以看出匹配度表格上要求的课程大多对应该本科的必修课程
第一阶段分数为以上四项相加
取得至少 70 分的学生算通过能力测试。
如果仅有个别科目要求未达到，委员会可要求学生参加数学学士学位课程和计算机科学辅修数学学士学位的基础考试，最多不超过 30 个学分。这些基础考试必须在第一学年通过。
得分低于 50 分者，未通过能力测试。
 

第一阶段分数为50-69分的申请人，进入能力测试的第二阶段 – 面试
选拔面试针对每位申请人单独进行。每位申请人的面试时间为20-30 分钟，面试用英语进行。
面试分数评分标准：
1. 学习意愿，判断是否具备将显著超过一般或与所选研究领域相关的表现水平，例如：
-	是否有证据表明申请人能使用快速、目标导向的学习
-	通过额外课程或课外经历（例如相关组织的成员或活动）来证明与这个硕士专业包含的某个特定领域匹配
-	简历中是否体现出出特别的兴趣（例如额外的相关实习、以前的工作与学习课程的联系）
-	是否有任何证据表明对研究型工作有特别的兴趣或特定的经验（例如，之前选择的学习中的特定研究方向、参与的研究项目）
2. 知识和项目的匹配性
-	本科专业的知识点、学习的重点
-	基本科目组的匹配度
-	论文主题
3. 沟通能力
-	清晰、流畅陈述和讨论事实
-	结构化回答
-	术语
-	利用论证、例子等表达想法等
 
 

面试分数(0-45分)：
每位评选委员会成员独立评估三个方面，权重相等。分数由每位成员的评分加权得出，小数位必须四舍五入。第二阶段的总分是面试分数和第一阶段的的分数总和。获得70分以上的人通过测试。总分低于70分的申请人，未通过能力测试。
 
8.硕士课程：
Mathematics in Data Science	TUM 学分
必修	31
选修	53
额外选修	6
硕士论文	30
"
慕尼黑大学,金融和精算数学,Financial and Insurance Mathematics,"1. 官网：https://www.fm.math.lmu.de/en/study-programs/master-financial-and-insurance-mathematics/index.html 
2. 授课语言：英语
3. 申请日期：仅冬季
①　学院申请截止日期：9月1日
 
②　外办申请截止日期：7月15日
 
4. 申请方式：学院和外办都要递交申请
①　学院申请
相关信息网址：https://www.pani.pa.uni-muenchen.de/kontaktstellen/kontaktstelle-mathematik/bamamathe/bewerbung_ma_finanz/appl_ma_financ_insurance/index.html 
将文件快递至指定地址或者将所有规定材料以PDF的形式邮件发送至邮箱：mathematik.pani.pa@verwaltung.uni-muenchen.de 
一般9月1日后的2周左右，才会给你发具体结果
 
②　外办申请
相关信息网址：https://www.lmu.de/en/study/degree-students/applications-for-admission/index.html 
需要填写申请表并且邮寄文件至指定地址
 
5. 申请材料：
①　学院申请
−	填写完整并签名的申请表(链接：https://www.pani.pa.uni-muenchen.de/kontaktstellen/kontaktstelle-mathematik/bamamathe/bewerbung_ma_finanz/bew_ma_fin_vers_ma_de_en_23_04.pdf )
−	表格式CV
−	成绩单+学位证公证件
 
②　外办申请
−	填写完整并签名的申请表
−	完整的CV
−	成绩单+学位证毕业证公证件
−	APS
−	学院approval(可以在注册的时候提交)
−	语言成绩(没找到英语语言的要求，若想要申请，发邮件询问)
Checklist：https://cms-cdn.lmu.de/media/lmu/downloads/studium/international-office/neuer-ordner/checklist-required-documents-for-application_checkliste_en-2.pdf 


6. 硕士入学要求：
 
数学或经济数学本科
该项目没有列出具体每个模块的学分要求，申请人是数学本科且有涉及一些金融数学的知识

7. 硕士项目：
 
该项目包含(具体可见module handbook)：
−	GOP
−	必修：
连续时间中的随机微积分与套利理论
统计推断
数学研讨会
金融数学中的数值方法
金融数学中的随机模型
−	选修
金融数学
精算数学
及其他有关统计、BA、经济、信息等应用领域的课程
−	实习
Module handbook 链接：https://cms-cdn.lmu.de/media/16-finmath/workgroup-finmath/downloads/mscfhandbuch_2021.pdf 
8. 备注
−	这个硕士项目还有机会参加双学位交换项目
 
−	这个硕士项目的很多课是收到DAV (German Actuarial Association)的批准的，对于已经决定从事这个行业+留在德国，挺好的机会
−	GOP，强制考 “Stochastic Calculus and Arbitrage Theory in Continuous Time”，一个必须通过的考试，具体要求看图片
 
−	强制实习+实习报告
 "
德累斯顿工业大学,商务经济数学,Mathematics in Business and Economics,"1.	官网：https://tu-dresden.de/mn/math/studieninteressierte/wirtschaftsmathematik-master
项目官网：https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=5335 
2.	项目基本信息：
①　	学位：Master of Science
②　	学习时间：4个学期 
③　	授课语言：英语
④　	开始时间：夏季或冬季
3.	申请时间：
①　	冬季学期：4月1日 - 7月15日
②　	夏季学期：10月1日 - 1月15日
 
4.	申请方式：uni-assist(仅网申)
Uni-assist 网址：https://www.uni-assist.de/en/ 
申请步骤/信息：https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung/bewerbungsverfahren-ueber-uni-assist 
 
 
5.	申请材料：
-	申请表(uni-assist成功提交申请后会自动生成)
-	CV
-	护照
-	花名册扫描件+公证件(optional)
-	本科毕业证学位证扫描件+公证件
-	成绩单扫描件+公证件
-	语言成绩
-	APS
-	课程描述(optional)
  
6.	授课语言：英语B2(雅思5.5)
 
7.	入学要求
−	数学或相关领域本科，尤其是技术数学或者商务经济数学
−	语言成绩达到B2
 
8.	硕士课程
 
总共66学分的选修课，至少24学分是从商务经济领域选择，至少42学分从数学模块选择"
德累斯顿工业大学,技术数学,Technomathematics ,"1.	官网：https://tu-dresden.de/mn/math/studieninteressierte/technomathematik-master
项目官网：https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=5338& 
2.	项目基本信息：
⑤　	学位：Master of Science
⑥　	学习时间：4个学期 
⑦　	授课语言：英语
⑧　	开始时间：夏季或冬季
3.	申请时间：
③　	冬季学期：4月1日 - 7月15日
④　	夏季学期：10月1日 - 1月15日
 
4.	申请方式：uni-assist(仅网申)
Uni-assist 网址：https://www.uni-assist.de/en/ 
申请步骤/信息：https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung/bewerbungsverfahren-ueber-uni-assist 
 
 
5.	申请材料：
-	申请表(uni-assist成功提交申请后会自动生成)
-	CV
-	护照
-	花名册扫描件+公证件(optional)
-	本科毕业证学位证扫描件+公证件
-	成绩单扫描件+公证件
-	语言成绩
-	APS
-	课程描述(optional)
  
6.	授课语言：英语B2(雅思5.5)
 
7.	入学要求
−	数学或相关领域本科，尤其是技术数学或者商务经济数学
−	语言成绩达到B2
 
8.	硕士课程
 
值27学分的5个必修模块 (与建模、模拟、数值、项目有关)，除此之外，至少42学分的数学模块以及至少24学分的应用模块
"
不来梅大学 ,生物统计,Biostaticis,"1.        官网：  https://www.uni-bremen.de/en/studies/orientation-application/offered-study-program/dbs/study/30?cHash=29e73ec8842c2ca7e337b1f3d3f29c26

2.        项目基本信息：
①　        学位：Master of Science
②　        学习时间：4个学期  (Full Time)
③　        授课语言：英语
④　        开始时间：冬季
3.        申请时间：
①　        冬季学期：3月1日至4月30日
4.        申请方式(仅网申)：
5.        通过学校网申系统提交申请，申请系统网址：https://moin.uni-bremen.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=EXTERNALPAGES&ARGUMENTS=-N000000000000002,-N000309,-AHomeenWelcome
6.        申请材料：
-        高中毕业证+公证件
-        学位证+毕业证+公证件
-        成绩单+公证件
-        APS
-        语言成绩
-        动机信（选择学位课程的具体原因、相关的职业规划或期望、与学位课程目标相关的其他已有知识，以及这些知识是如何获得的（如通过课程、进修、 专业实践经验等）(例如，通过课程、进修和专业或实践经验，必须附上相应的证据。）
7.        授课语言：英语B2- 5.5
8.        入学基本要求
证明在数学、随机学或统计学领域至少获得 9 个 CP，且成绩不低于 2.3，其中在随机学或统计学领域至少获得 6 个 CP。在以前的学习或专业实践中获得的该领域的相关知识可以得到认可或记入学分。
评分标准：绩点评分最高80分
  
动机信评分标准：动机信满分20
如果提供了清晰且与资格目标明确和完整相匹配的陈述，则得20分。
如果提供了与资格目标相匹配且适当的陈述，则得15分。
如果陈述能够合理地涉及个人目标，则得5分。
9.	硕士课程：
加深之前学士课程的数学和统计学基础知识。它扩展了学生的知识和技能，特别是在医学研究领域。它强调跨学科性和实际相关性。获得生物统计学家专业知识的广泛知识。不仅教授规划和评估实证研究的实用技能，还教授方法论和医学基础知识以及法律和伦理方面的知识。实习是综合性的，例如在研究所、公司、当局或诊所，学生可以在其中体验相关专业领域的工作情况和工作要求。通过这些课程，学生可以熟悉方法论和应用方面的研究现状。我们注重确保学生能够在跨学科团队中以高科学水平交流信息、想法和问题，并负责解决问题。
学习内容：
生物统计学-A-1：生物统计方法 3
生物统计学-A-2：统计建模 7
生物统计学-A-3：数据管理和统计编程 12
生物统计学-A-4：基础流行病学 16
生物统计学-A-5：生物统计方法 - 特殊方面 20
生物统计学-A-6：复杂统计建模 25
生物统计学-B-1：临床/诊断试验、法律、指南和伦理 29
生物统计学-B-2：医学基础知识 35
生物统计学-C-1：实习 40
生物统计学-D-1：模块硕士论文
来源：https://www.uni-bremen.de/fileadmin/user_upload/fachbereiche/fb3/fb3/Dateien/Studienzentrum_Mathematik/Modulhandbuecher/ModuleDescriptions_BioStat_V03.pdf
"
锡根大学,数学,Mathematics,"1.	官网：https://www.uni-potsdam.de/en/studium/application-enrollment/application-master/consecutive.html
2.	项目基本信息：
①　	学位：Master of Science
②　	学习时间：4个学期  (Full Time)
③　	授课语言：英语
④　	开始时间：冬季和夏季
3.	申请时间：
①　	冬季学期：3 月1日到4月30日
②　	夏季学期：10月1日到11月30日 
4.	申请方式：
官网申请：https://unisono.uni-siegen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
6.	授课语言：英语B2- 6.5
7.	入学基本要求
已完成数学学士学位考试或至少在大学完成同等学习。至少必须具备以下能力：
-	分析 I-III (27 CP)
-	线性代数 I (9 CP)
-	数值分析（9 CP）
-	概率论（9 CP）
8.	硕士课程：
该学位课程教授抽象结构分析、识别、表达和解决数学和辅修问题的技能。后续还有相对应的博士学位提供。
未来学习领域有：创建风险预测（保险）/分析财务管理领域（股票等）的费率发展
改进编码技术，例如网上银行和电话、互联网、音乐和图像）
优化行程，例如火车、公共汽车和飞机
数学模型的开发（汽车、航空航天、钢铁工业、医学）
数据处理和评估，例如银行和保险公司的数据
本科课程
数论的公理化
可交换代数
简单有限元素
金融工程/随机 III
傅立叶分析
几何学
曲线和曲面的几何学
编码理论 I
编码理论 II
凸几何
密码学 I
密码学 II
非线性优化
偏微分方程
统计分析
拓扑学
硕士课程
算法博弈论
可分析的群
近似和在线算法
CFD：计算流体力学
计算力学
数据挖掘
微分几何
椭圆曲线
椭圆偏微分方程
有限元软件设计
泛函分析 II
泛函分析 III
地理数学
几何群论
谐波分析
高级组合学
地震研究数学模型
数值 III
数值 IV
反问题的数值
最优控制
统计计算
随机动态优化
随机积分和随机微分方程
金融和保险数学的随机过程
辛几何
变分不等式的理论和数值
概率论
"
波鸿大学,语言数据科学,Linguistic Data Science,"1.	官网： https://ldsl.rub.de/application
2.	项目基本信息：
①　	学位：Master of Science
②　	学习时间：4个学期  (Full Time)
③　	授课语言：英语
④　	开始时间：冬季
3.	申请时间：
①　	冬季学期：6月1日到7月15日
4.	申请方式：
官网申请：https://studium.ruhr-uni-bochum.de/en/internationals-application-masters-degree
https://bewerbung.uv.ruhr-uni-bochum.de/
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
-	两页动机信（这不能只是一份简历。写一篇大约 2页长的文字，解释您最新的学术生涯如何导致您对语言数据科学产生兴趣。请注意，该课程是语言数据科学，而不仅仅是数据科学，也不是 NLP 编程课程。您的文本应详细说明您对与数据科学相关的语言学感兴趣的原因和方式，特别是如果您的学位仅显示这些主题之一。（我们不需要对大学或项目的赞扬。））
6.	授课语言：英语B2- 6.0
7.	申请流程：在截止日期前以国际学生身份在线申请。
委员会会检查您的申请的完整性（如果缺少某些内容，可能会收到提醒）。
完整的申请由委员会决定。如果满足上述要求，将被录取。
会通过电子邮件收到录取通知书。
同时收到强制性咨询会议的邀请。
在参加强制性咨询课程后，学术咨询办公室会发送参与确认信息（如果通过在线门户申请，该确认信息也会上传到此处）。
注册后，可以注册语言数据科学的内部 Moodle 课程。在这里可以结识您的同学并找到更多信息。
在下学期开始时，将开始学习课程（通常是十月的第二周或第三周）。
8.	入学基本要求
已完成数学学士学位考试或至少在大学完成同等学习。至少必须具备以下能力：
语言学60 CP，数学/统计学或计算机科学 15 CP，或者语言学 15 CP，数学/统计学或计算机科学 60 CP。
9.	硕士课程：
在第一学年的两个基础模块中，即计算语言学和语言数据科学，奠定了进一步学习的基础：包括学习三个重点领域的知识，即理论语言学、计算语言学和语言数据科学，以及使用Python和R等编程语言的编程技能。学生们通过独立和团队解决问题的工作，获得了解决问题的能力。
核心模块是重点模块，由三个高级课程组成。这些活动可分为三个重点领域的小型研讨会。通过选择研讨会，学生们决定了核心模块的变体：重点模块至少由两个来自该领域的研讨会组成。提供的研讨会的重点领域分配将在课程目录和该专业的网站上公布。
研究模块由学生个人或小组完成的研究项目组成。他们通过陪伴研讨会获得解决问题的项目工作能力。在陪伴的讨论会上，学生们跨年级分享经验和学习成果，以及挑战和应对策略，并学习展示科学问题和项目以及理解演示的能力。
在硕士模块中，学生们将完成一篇硕士论文。
以下是课程描述：
https://ldsl.rub.de/media/pages/study-linguistic-data-science/ee6eee757b-1695638049/modulhandbuch-14-10-22.pdf
"
莱比锡大学,数学物理,Mathematical Physis,"1.	官网：https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/mathematical-physics-m-sc
2.	项目基本信息：
①　	学位：Master of Science
②　	学习时间：4个学期  (Full Time)
③　	授课语言：英语
④　	开始时间：冬季
3.	申请时间：
①　	冬季学期：4月1日到5月31日
4.	申请方式：
通过uni-assist申请
官网申请：https://unisono.uni-siegen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
6.	授课语言：英语B2- 6.5
7.	入学基本要求
已完成数学学士学位考试或至少在大学完成同等学习。至少必须具备以下能力：
-	通常是数学、物理或计算机科学学士学位，或者
-	代数和分析知识达 30 学分；最多可从其他数学领域获得 10 个学分
-	理论物理领域或与理论物理相关领域的知识（例如量子力学、实验物理、复杂和气象系统、动力系统、微分方程）总计20学分
-	欧洲共同语言参考框架 B2 级英语知识证明（或同等水平）
8.	硕士课程：
硕士课程由两个为期一年的阶段组成。数学物理的两个模块为第一阶段奠定了基础。它们以您在数学和理论物理方面的基础知识为基础，并构成后来的高级课程的基础。在研究阶段，您将学习在教授或经验丰富的科学家的指导下进行独立研究，成为研究小组的一部分，并为当前的研究问题做出贡献。
课程结构允许学生做出个人选择，因此提供了多种专业选择。除了数学和理论物理方面的广泛主题外，您还可以利用扩展范围的选修模块，例如气象学（数据同化或数值天气预报和气候建模）或计算机科学（神经启发的数据处理，人工神经网络和机器学习、可视化、图形和生物网络）。
职业方向：由于数学和物理在现代社会中的重要性，科学和工业领域有很多就业机会。许多毕业生继续攻读博士学位，并从数学和理论物理研究所以及马克斯·普朗克科学数学研究所 (MPI MiS) 受益 
由于德国缺乏专业数学家、计算机科学家、科学家和工程师，您将在工业和商业领域的各种职业中获得绝佳的机会，包括：
机械工业
电气工程
医疗技术
软件开发
金融保险
通讯系统
运输和物流
服务业还有更多就业机会，包括：
企业咨询
技术咨询
科研机构
管理（材料测试中心、质量保证、验证、IT 安全）
根据自己的兴趣组织硕士课程，选修以下课程：
    动态系统
    微分几何
    随机过程
    引力和宇宙学
    凝聚态和软物质
    偏微分方程或
粒子和量子场
具体课程可以在：https://www.physes.uni-leipzig.de/en/studying/courses-of-study/master-mathematical-physics
以及该课程的课程描述：https://amb.uni-leipzig.de/?kat_id=905
"
多蒙工业大学,工业数学,Industrial Mathematics,"1.	官网：https://www.tu-dortmund.de/en/studies/degree-programs/industrial-mathematics-913/
https://studieren.mathematik.tu-dortmund.de/?page_id=1018
2.	项目基本信息：
①　	学位：Master of Science
②　	学习时间：4个学期  (Full Time)
③　	授课语言：英语
④　	开始时间：冬季
3.	申请时间：
①　	冬季学期：7月15日
4.	申请方式：
官网申请：https://unisono.uni-siegen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
6.	授课语言：英语B2- 6.5
7.	入学基本要求
已完成数学学士学位考试或至少在大学完成同等学习。至少必须具备以下能力：
要求绩点3.0以上
来自建筑力学和静力学、化学、电气工程和信息技术、计算机科学、物理、技术力学等次要领域之一至少 20 学分
数学和信息与计算科学的学分满足要求
8.	硕士课程：
同时，技术数学（技术数学和工业数学）硕士课程中增加了辅修科目“计算机科学”。
，前三个学期在多特蒙德工业大学一起学习课程。第四学期，学生撰写硕士论文，也可以与工业公司合作完成。如需经济支持，学生可以申请“曼弗雷德·雷默奖学金”。
他们能够在科学、技术或商业的各种专业领域独立应用数学知识。通过这样做，他们还能够在实践中识别和分析非常复杂的数学问题，并生成和实施新的科学解决方案。他们有能力适当地应用数学方法来解决规划、开发和研究任务，也可以在大学或研究机构担任科学工作者。工业数学专业的学生通过在学习中选择应用学科，还获得了自然科学或工程科学方面深厚的跨学科知识：总的来说，他们是应用数学（数值、优化、科学计算等）方面的专家，可以开发和实施跨学科环境中的数值计算机模拟。
辅修领域有：
物理
计算机科学
技术力学（机械工程）
电气工程与信息技术
建筑力学与静力学（土木工程）
化学工程
化学
"
